Date,Time,Temperature,Humidity,SoilCondition
2023-11-05,20:07:55,29.1,53.8,"Soil Condition: There is some moisture, Soil is medium"
2023-11-05,20:07:56,29.1,53.8,"Soil Condition: There is some moisture, Soil is medium"
2023-11-05,20:09:22,29.1,53.6,"Soil Condition: There is some moisture, Soil is medium"
2023-11-05,20:09:23,29.1,53.6,"Soil Condition: There is some moisture, Soil is medium"
2023-11-05,20:09:24,29.0,53.6,"Soil Condition: There is some moisture, Soil is medium"
2023-11-05,20:09:25,29.0,53.6,"Soil Condition: There is some moisture, Soil is medium"
2023-11-05,20:09:26,29.0,53.6,"Soil Condition: There is some moisture, Soil is medium"
2023-11-05,20:09:27,29.0,53.6,"Soil Condition: There is some moisture, Soil is medium"
2023-11-05,20:09:28,29.1,53.6,"Soil Condition: There is some moisture, Soil is medium"
2023-11-05,20:09:29,29.1,53.6,"Soil Condition: There is some moisture, Soil is medium"
2023-11-05,20:09:31,29.0,53.6,"Soil Condition: There is some moisture, Soil is medium"
2023-11-05,20:09:32,29.0,53.6,"Soil Condition: There is some moisture, Soil is medium"
2023-11-05,20:09:33,29.1,53.5,"Soil Condition: There is some moisture, Soil is medium"
2023-11-05,20:09:34,29.1,53.5,"Soil Condition: There is some moisture, Soil is medium"
2023-11-05,20:09:35,29.1,53.5,"Soil Condition: There is some moisture, Soil is medium"
2023-11-05,20:24:17,27.1,59.1,"Soil Condition: There is some moisture, Soil is medium"
2023-11-05,20:24:18,27.2,59.1,"Soil Condition: There is some moisture, Soil is medium"
2023-11-05,20:24:19,27.2,59.1,"Soil Condition: There is some moisture, Soil is medium"
2023-11-05,20:24:20,27.2,59.5,"Soil Condition: There is some moisture, Soil is medium"
2023-11-05,20:24:21,27.2,59.5,"Soil Condition: There is some moisture, Soil is medium"
2023-11-05,20:24:23,27.2,59.7,"Soil Condition: There is some moisture, Soil is medium"
2023-11-06,21:37:25,27.0,58.1,"Soil Condition: There is some moisture, Soil is medium"
2023-11-06,21:37:26,27.0,58.1,"Soil Condition: There is some moisture, Soil is medium"
2023-11-06,21:37:27,27.0,58.0,"Soil Condition: There is some moisture, Soil is medium"
2023-11-06,21:37:28,27.0,58.0,"Soil Condition: There is some moisture, Soil is medium"
2023-11-06,21:37:30,27.0,58.0,"Soil Condition: There is some moisture, Soil is medium"
2023-11-06,21:37:31,27.0,58.0,"Soil Condition: There is some moisture, Soil is medium"
2023-11-06,21:37:32,27.0,58.0,"Soil Condition: There is some moisture, Soil is medium"
2023-11-06,21:37:34,27.0,57.9,"Soil Condition: No moisture, Soil is dry"
2023-11-06,21:37:41,27.0,57.7,"Soil Condition: There is some moisture, Soil is medium"
2023-11-06,21:37:43,27.0,57.7,"Soil Condition: No moisture, Soil is dry"
2023-11-06,21:37:44,27.1,57.5,"Soil Condition: There is some moisture, Soil is medium"
2023-11-06,21:37:45,27.1,57.5,"Soil Condition: There is some moisture, Soil is medium"
2023-11-06,21:37:46,27.1,57.5,"Soil Condition: No moisture, Soil is dry"
2023-11-06,21:37:49,27.1,57.1,"Soil Condition: There is some moisture, Soil is medium"
2023-11-06,21:37:51,27.1,57.1,"Soil Condition: There is some moisture, Soil is medium"
2023-11-06,21:37:52,27.1,57.4,"Soil Condition: There is some moisture, Soil is medium"
2023-11-06,21:37:53,27.1,57.4,"Soil Condition: There is some moisture, Soil is medium"
2023-11-06,21:37:54,27.1,57.7,"Soil Condition: There is some moisture, Soil is medium"
2023-11-07,08:04:01,25.6,61.8,"Soil Condition: There is some moisture, Soil is medium"
2023-11-07,08:04:02,25.6,61.8,"Soil Condition: There is some moisture, Soil is medium"
2023-11-07,08:04:02,25.6,61.8,"Soil Condition: There is some moisture, Soil is medium"
2023-11-07,08:04:02,25.6,61.8,"Soil Condition: There is some moisture, Soil is medium"
2023-11-07,08:04:02,25.6,61.8,"Soil Condition: There is some moisture, Soil is medium"
2023-11-07,08:04:02,25.7,61.7,"Soil Condition: There is some moisture, Soil is medium"
2023-11-07,08:04:03,25.7,61.7,"Soil Condition: There is some moisture, Soil is medium"
2023-11-07,08:04:04,25.7,61.7,"Soil Condition: There is some moisture, Soil is medium"
2023-11-07,08:04:05,25.7,61.7,"Soil Condition: There is some moisture, Soil is medium"
2023-11-07,08:04:06,25.8,61.4,"Soil Condition: No moisture, Soil is dry"
2023-11-07,08:04:07,25.8,61.4,"Soil Condition: No moisture, Soil is dry"
2023-11-07,08:04:09,25.8,60.8,"Soil Condition: No moisture, Soil is dry"
2023-11-07,08:04:10,25.8,60.8,"Soil Condition: There is some moisture, Soil is medium"
2023-11-07,08:04:11,25.8,60.9,"Soil Condition: There is some moisture, Soil is medium"
2023-11-07,08:04:14,25.8,61.4,"Soil Condition: No moisture, Soil is dry"
2023-11-07,08:04:15,25.8,61.4,"Soil Condition: No moisture, Soil is dry"
2023-11-07,08:04:15,25.8,61.4,"Soil Condition: No moisture, Soil is dry"
2023-11-07,08:04:16,25.8,61.4,"Soil Condition: No moisture, Soil is dry"
2023-11-07,08:04:16,25.8,61.4,"Soil Condition: No moisture, Soil is dry"
2023-11-07,08:04:16,25.8,61.4,"Soil Condition: No moisture, Soil is dry"
2023-11-07,08:04:16,25.8,61.4,"Soil Condition: No moisture, Soil is dry"
2023-11-07,08:04:17,25.8,61.4,"Soil Condition: No moisture, Soil is dry"
2023-11-07,08:04:17,25.8,61.4,"Soil Condition: No moisture, Soil is dry"
2023-11-07,08:04:17,25.8,61.4,"Soil Condition: No moisture, Soil is dry"
2023-11-07,08:04:17,25.8,61.4,"Soil Condition: No moisture, Soil is dry"
2023-11-07,08:04:18,25.8,61.4,"Soil Condition: No moisture, Soil is dry"
2023-11-07,08:04:18,25.8,61.4,"Soil Condition: No moisture, Soil is dry"
2023-11-20,13:52:04,28.5,52.2,"Soil Condition: There is some moisture, Soil is medium"
2023-11-20,13:52:05,28.5,52.3,"Soil Condition: There is some moisture, Soil is medium"
2023-11-20,13:52:06,28.5,52.3,"Soil Condition: There is some moisture, Soil is medium"
2023-11-20,13:52:07,28.6,52.3,"Soil Condition: There is some moisture, Soil is medium"
2023-11-20,13:52:08,28.6,52.3,"Soil Condition: No moisture, Soil is dry"
2023-11-20,13:52:09,28.6,52.0,"Soil Condition: No moisture, Soil is dry"
2023-11-20,13:52:10,28.6,52.0,"Soil Condition: No moisture, Soil is dry"
2023-11-20,13:52:12,28.6,51.9,"Soil Condition: No moisture, Soil is dry"
2023-11-20,13:52:13,28.6,51.9,"Soil Condition: No moisture, Soil is dry"
2023-11-20,13:52:14,28.6,51.6,"Soil Condition: No moisture, Soil is dry"
2023-11-20,13:52:15,28.6,51.6,"Soil Condition: No moisture, Soil is dry"
2023-11-20,13:52:16,28.6,51.7,"Soil Condition: No moisture, Soil is dry"
2023-11-20,13:52:17,28.6,51.7,"Soil Condition: No moisture, Soil is dry"
2023-11-20,13:52:18,28.6,51.6,"Soil Condition: No moisture, Soil is dry"
2023-11-20,13:52:19,28.6,51.6,"Soil Condition: No moisture, Soil is dry"
2023-11-20,13:52:21,28.6,51.6,"Soil Condition: No moisture, Soil is dry"
2023-11-20,13:52:22,28.6,51.6,"Soil Condition: No moisture, Soil is dry"
2023-11-20,15:04:26,26.5,60.3,"Soil Condition: There is some moisture, Soil is medium"
2023-11-20,15:04:27,26.6,60.2,"Soil Condition: There is some moisture, Soil is medium"
2023-11-20,15:04:29,26.6,60.2,"Soil Condition: There is some moisture, Soil is medium"
2023-11-20,15:04:30,26.6,60.1,"Soil Condition: There is some moisture, Soil is medium"
2023-11-20,15:04:31,26.6,60.1,"Soil Condition: There is some moisture, Soil is medium"
2023-11-20,15:04:32,26.6,60.0,"Soil Condition: No moisture, Soil is dry"
2023-11-20,15:04:33,26.6,60.0,"Soil Condition: No moisture, Soil is dry"
2023-11-20,15:04:34,26.6,59.4,"Soil Condition: There is some moisture, Soil is medium"
2023-11-20,15:04:35,26.6,59.4,"Soil Condition: There is some moisture, Soil is medium"
2023-11-20,15:04:36,26.7,59.5,"Soil Condition: There is some moisture, Soil is medium"
